userId,movieId,rating,timestamp,title,genres,tag
109,272,3.0,841108751,"Madness of King George, The (1994)",Comedy|Drama,
325,4714,2.0,1039397724,Any Which Way You Can (1980),Comedy,
28,2358,4.0,1242031785,Savior (1998),Drama|War,
382,2279,3.5,1515172029,Urban Legend (1998),Horror|Thriller,
446,508,5.0,843839401,Philadelphia (1993),Drama,
68,2791,4.0,1158531917,Airplane! (1980),Comedy,
18,648,3.0,1455209873,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,
239,41997,3.5,1221159193,Munich (2005),Action|Crime|Drama|Thriller,
330,327,2.5,1285903267,Tank Girl (1995),Action|Comedy|Sci-Fi,
544,648,4.0,850688537,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,
391,3030,4.0,1030827888,Yojimbo (1961),Action|Adventure,
74,51540,4.0,1207500465,Zodiac (2007),Crime|Drama|Thriller,
249,1101,3.5,1416930822,Top Gun (1986),Action|Romance,
307,4025,1.5,1186162501,Miss Congeniality (2000),Comedy|Crime,
51,3814,5.0,1230931031,Love and Death (1975),Comedy,
44,66,3.0,869252563,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,
89,78620,4.5,1520409456,"Scalphunters, The (1968)",Comedy|Western,
474,4189,2.5,1082256503,"Greatest Story Ever Told, The (1965)",Drama,religion
600,1895,2.5,1237713979,Can't Hardly Wait (1998),Comedy|Drama|Romance,
573,1197,3.0,1186721805,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,
294,2306,3.0,966596414,Holy Man (1998),Comedy,
68,3844,3.0,1269122850,Steel Magnolias (1989),Drama,
610,87869,3.5,1493847206,Horrible Bosses (2011),Comedy|Crime,
317,32587,3.0,1430366378,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,
377,4434,4.0,1340342196,"10th Victim, The (La decima vittima) (1965)",Action|Comedy|Sci-Fi|Thriller,
73,87430,1.0,1464199377,Green Lantern (2011),Action|Adventure|Sci-Fi,
305,4270,4.5,1518858976,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller,
579,2053,3.0,958882061,"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi,
6,553,5.0,845553559,Tombstone (1993),Action|Drama|Western,
230,33166,1.5,1196304701,Crash (2004),Crime|Drama,
584,597,3.0,834988132,Pretty Woman (1990),Comedy|Romance,
166,4865,4.0,1189037876,From Hell (2001),Crime|Horror|Mystery|Thriller,
163,1625,4.0,894217570,"Game, The (1997)",Drama|Mystery|Thriller,
111,81537,3.5,1516151406,Due Date (2010),Comedy,
608,3868,1.0,1117505046,"Naked Gun: From the Files of Police Squad!, The (1988)",Action|Comedy|Crime|Romance,
387,836,2.0,1094939745,Chain Reaction (1996),Action|Adventure|Thriller,
182,5108,1.5,1055153450,John Q (2002),Crime|Drama|Thriller,
122,5171,3.5,1461563005,"Time Machine, The (2002)",Action|Adventure|Sci-Fi,
124,608,5.0,1336412883,Fargo (1996),Comedy|Crime|Drama|Thriller,
608,842,1.0,1117506920,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror,
141,54286,3.5,1513129892,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,
596,79242,3.0,1535832812,"Kids Are All Right, The (2010)",Comedy|Drama,
437,112,3.0,859721045,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,
512,350,3.0,841449461,"Client, The (1994)",Drama|Mystery|Thriller,
608,36708,4.0,1189380646,Family Guy Presents Stewie Griffin: The Untold Story (2005),Adventure|Animation|Comedy,
62,60072,3.5,1521490159,Wanted (2008),Action|Thriller,
555,1527,3.0,978841598,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,
89,132496,4.5,1520409189,Danny Collins (2015),Comedy|Drama,
132,1270,3.5,1157921202,Back to the Future (1985),Adventure|Comedy|Sci-Fi,
99,10,4.0,829827514,GoldenEye (1995),Action|Adventure|Thriller,
414,47099,3.5,1286739003,"Pursuit of Happyness, The (2006)",Drama,
279,1270,3.5,1506394363,Back to the Future (1985),Adventure|Comedy|Sci-Fi,
608,3421,3.5,1117490862,Animal House (1978),Comedy,
572,2724,4.0,979923960,Runaway Bride (1999),Comedy|Romance,
480,380,2.5,1179177630,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,
23,1464,4.0,1107163869,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance,
84,147,4.0,858771818,"Basketball Diaries, The (1995)",Drama,
599,164179,3.0,1498529143,Arrival (2016),Sci-Fi,
68,4016,4.0,1268849072,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy,
221,104,2.5,1111176006,Happy Gilmore (1996),Comedy,
217,1004,3.0,955941623,"Glimmer Man, The (1996)",Action|Thriller,
103,912,5.0,1431954433,Casablanca (1942),Drama|Romance,
202,1278,4.0,974923588,Young Frankenstein (1974),Comedy|Fantasy,
509,78703,3.5,1435998457,TiMER (2009),Comedy|Drama|Fantasy|Romance,
469,2313,4.0,965845945,"Elephant Man, The (1980)",Drama,
21,116797,2.5,1423422308,The Imitation Game (2014),Drama|Thriller|War,
357,33794,4.0,1348611280,Batman Begins (2005),Action|Crime|IMAX,
74,1219,4.5,1207501896,Psycho (1960),Crime|Horror,
258,72641,3.0,1534892552,"Blind Side, The  (2009)",Drama,
511,4993,5.0,1450093997,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,
474,6948,4.0,1110202908,Tupac: Resurrection (2003),Documentary,music business
264,367,4.0,1136979112,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,
124,2683,4.0,1336409883,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,
597,1129,5.0,941729657,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,
103,112556,4.5,1431955249,Gone Girl (2014),Drama|Thriller,
414,105504,4.0,1522624502,Captain Phillips (2013),Adventure|Drama|Thriller|IMAX,
599,296,5.0,1498456867,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,characters
104,56775,3.0,1332630156,National Treasure: Book of Secrets (2007),Action|Adventure,
220,71264,2.0,1266566571,Cloudy with a Chance of Meatballs (2009),Animation|Children|Fantasy|IMAX,
129,292,3.5,1167376332,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,
484,80463,3.0,1342296482,"Social Network, The (2010)",Drama,
103,72641,4.0,1431955337,"Blind Side, The  (2009)",Drama,
10,63992,4.5,1455356863,Twilight (2008),Drama|Fantasy|Romance|Thriller,
419,1213,4.0,1321659212,Goodfellas (1990),Crime|Drama,
577,2058,3.0,945967415,"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller,
414,85774,4.0,1344733836,Senna (2010),Documentary,
187,4993,4.5,1161849940,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,
425,2447,4.5,1114173226,Varsity Blues (1999),Comedy|Drama,
328,8464,3.0,1494212262,Super Size Me (2004),Comedy|Documentary|Drama,
98,104841,4.5,1532457992,Gravity (2013),Action|Sci-Fi|IMAX,
517,899,4.5,1487957169,Singin' in the Rain (1952),Comedy|Musical|Romance,
480,3882,0.5,1179164357,Bring It On (2000),Comedy,
562,53468,4.0,1368893067,Fido (2006),Comedy|Horror|Thriller,
553,6378,4.5,1219564119,"Italian Job, The (2003)",Action|Crime,
110,3949,4.0,1175330135,Requiem for a Dream (2000),Drama,
30,1036,4.0,1500370436,Die Hard (1988),Action|Crime|Thriller,
141,6365,3.0,1513130320,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
562,3481,4.0,1368893927,High Fidelity (2000),Comedy|Drama|Romance,
596,143355,4.5,1535709024,Wonder Woman (2017),Action|Adventure|Fantasy,
58,248,3.0,847719411,Houseguest (1994),Comedy,
103,34,4.0,1431957104,Babe (1995),Children|Drama,
